target_variant,model_type,listing_id,make,model,brand,price_eur,mileage_km,age_years,power_hp,fuel_type,listing_country,price_label,top_price,top_price_plus_good_price,threshold_used,probability_positive_label,predicted_positive_label,review_rank
top_price_only,Random Forest,1422,audi,a3,audi,15900,112538.0,6.0,116.0,petrol,germany,good-price,0,1,0.5,0.47135533696205395,0,1155
top_price_only,Random Forest,441,audi,a3,audi,13490,127500.0,9.0,110.0,petrol,germany,fair-price,0,0,0.5,0.47125269962308464,0,1156
top_price_only,Random Forest,2572,audi,a3,audi,21430,88590.0,3.0,116.0,diesel,germany,fair-price,0,0,0.5,0.47117645337657615,0,1157
top_price_only,Random Forest,2204,audi,a3,audi,23650,30589.0,2.0,110.0,petrol,germany,good-price,0,1,0.5,0.4711419057863032,0,1158
top_price_only,Random Forest,98,audi,a3,audi,16980,98460.0,7.0,150.0,petrol,germany,good-price,0,1,0.5,0.4711376088531914,0,1159
top_price_only,Random Forest,1904,audi,a3,audi,16980,98460.0,7.0,150.0,petrol,germany,good-price,0,1,0.5,0.4711376088531914,0,1160
top_price_only,Random Forest,1403,audi,a3,audi,21900,34523.0,3.0,110.0,petrol,germany,fair-price,0,0,0.5,0.4707799206108173,0,1161
top_price_only,Random Forest,1865,audi,a3,audi,21950,35000.0,3.0,110.0,petrol,germany,fair-price,0,0,0.5,0.4707799206108173,0,1162
top_price_only,Random Forest,2033,audi,a3,audi,24444,24999.0,2.0,110.0,petrol,germany,top-price,1,1,0.5,0.47077154047709746,0,1163
top_price_only,Random Forest,1862,audi,a3,audi,21980,115572.0,4.0,150.0,diesel,germany,good-price,0,1,0.5,0.47069832627759284,0,1164
top_price_only,Random Forest,1028,audi,a3,audi,1700,223900.0,21.0,150.0,petrol,germany,top-price,1,1,0.5,0.4705995526314121,0,1165
top_price_only,Random Forest,271,audi,a3,audi,22780,27430.0,3.0,110.0,petrol,germany,good-price,0,1,0.5,0.47039262061186016,0,1166
top_price_only,Random Forest,1258,audi,a3,audi,22950,62263.0,5.0,150.0,diesel,germany,good-price,0,1,0.5,0.4701140190661118,0,1167
top_price_only,Random Forest,2520,audi,a3,audi,22630,27072.0,3.0,110.0,petrol,germany,good-price,0,1,0.5,0.4700011784941299,0,1168
top_price_only,Random Forest,458,audi,a3,audi,22990,73000.0,3.0,150.0,petrol,germany,fair-price,0,0,0.5,0.4699497315578197,0,1169
top_price_only,Random Forest,825,audi,a3,audi,12890,132000.0,10.0,150.0,petrol,germany,good-price,0,1,0.5,0.4698943418626536,0,1170
top_price_only,Random Forest,2318,audi,a3,audi,36840,13990.0,1.0,150.0,petrol,germany,fair-price,0,0,0.5,0.4693854141176935,0,1171
top_price_only,Random Forest,1255,audi,a3,audi,16490,83000.0,7.0,116.0,petrol,germany,top-price,1,1,0.5,0.46935158101319197,0,1172
top_price_only,Random Forest,389,audi,a3,audi,21987,111400.0,4.0,150.0,diesel,germany,top-price,1,1,0.5,0.46916619495388145,0,1173
top_price_only,Random Forest,1320,audi,a3,audi,17511,93000.0,8.0,150.0,petrol,germany,top-price,1,1,0.5,0.46891091146777514,0,1174
top_price_only,Random Forest,245,audi,a3,audi,20490,49250.0,5.0,116.0,diesel,germany,fair-price,0,0,0.5,0.46883136484775884,0,1175
top_price_only,Random Forest,3025,audi,a3,audi,13490,96100.0,10.0,110.0,petrol,germany,somewhat-expensive,0,0,0.5,0.46882563131384253,0,1176
top_price_only,Random Forest,2243,audi,a3,audi,23690,15198.0,2.0,110.0,petrol,germany,good-price,0,1,0.5,0.46876786963065536,0,1177
top_price_only,Random Forest,2690,audi,a3,audi,21869,98300.0,3.0,110.0,petrol,germany,fair-price,0,0,0.5,0.46871013614844004,0,1178
top_price_only,Random Forest,2105,audi,a3,audi,24450,26924.0,1.0,110.0,petrol,germany,good-price,0,1,0.5,0.4686275587347689,0,1179
top_price_only,Random Forest,1084,audi,a3,audi,12290,122000.0,10.0,125.0,petrol,germany,top-price,1,1,0.5,0.46810936914721685,0,1180
top_price_only,Random Forest,1495,audi,a3,audi,16990,97000.0,7.0,150.0,petrol,germany,good-price,0,1,0.5,0.4677908719935845,0,1181
top_price_only,Random Forest,198,audi,a3,audi,24440,65696.0,1.0,150.0,petrol,germany,good-price,0,1,0.5,0.4676772288463875,0,1182
top_price_only,Random Forest,1955,audi,a3,audi,22950,65864.0,5.0,150.0,diesel,germany,top-price,1,1,0.5,0.46749662799736164,0,1183
top_price_only,Random Forest,1214,audi,a3,audi,22930,27672.0,3.0,110.0,petrol,germany,unknown,0,0,0.5,0.4674417018691876,0,1184
top_price_only,Random Forest,1691,audi,a3,audi,10890,115000.0,12.0,125.0,petrol,germany,top-price,1,1,0.5,0.4674108897615033,0,1185
top_price_only,Random Forest,2288,audi,a3,audi,14982,92714.0,9.0,179.0,petrol,germany,good-price,0,1,0.5,0.46733588605286724,0,1186
top_price_only,Random Forest,1001,audi,a3,audi,10450,119351.0,12.0,122.0,petrol,germany,top-price,1,1,0.5,0.4670226857244231,0,1187
top_price_only,Random Forest,587,audi,a3,audi,2990,182987.0,18.0,116.0,petrol,germany,good-price,0,1,0.5,0.46685982024861566,0,1188
top_price_only,Random Forest,2422,audi,a3,audi,21930,54880.0,3.0,110.0,petrol,germany,somewhat-expensive,0,0,0.5,0.4667822294952753,0,1189
top_price_only,Random Forest,856,audi,a3,audi,2990,206000.0,20.0,102.0,petrol,germany,top-price,1,1,0.5,0.46674389388967547,0,1190
top_price_only,Random Forest,753,audi,a3,audi,11390,139000.0,11.0,150.0,petrol,germany,top-price,1,1,0.5,0.46667278041650606,0,1191
top_price_only,Random Forest,1509,audi,a3,audi,21749,102750.0,4.0,150.0,diesel,germany,fair-price,0,0,0.5,0.4665672530115281,0,1192
top_price_only,Random Forest,959,audi,a3,audi,14499,72339.0,7.0,116.0,petrol,germany,top-price,1,1,0.5,0.46652711528413443,0,1193
top_price_only,Random Forest,1555,audi,a3,audi,11450,164793.0,9.0,125.0,petrol,germany,fair-price,0,0,0.5,0.46646396915255417,0,1194
top_price_only,Random Forest,360,audi,a3,audi,8000,188000.0,9.0,110.0,diesel,germany,top-price,1,1,0.5,0.46643506330200524,0,1195
top_price_only,Random Forest,883,audi,a3,audi,9900,117000.0,12.0,122.0,petrol,germany,top-price,1,1,0.5,0.46643477377414605,0,1196
top_price_only,Random Forest,1347,audi,a3,audi,4900,102000.0,23.0,102.0,petrol,germany,top-price,1,1,0.5,0.466333791660683,0,1197
top_price_only,Random Forest,977,audi,a3,audi,21790,66840.0,6.0,150.0,petrol,germany,fair-price,0,0,0.5,0.46603524149184117,0,1198
top_price_only,Random Forest,1358,audi,a3,audi,9900,235000.0,10.0,150.0,diesel,germany,top-price,1,1,0.5,0.465851184859159,0,1199
top_price_only,Random Forest,743,audi,a3,audi,14900,69500.0,8.0,116.0,petrol,germany,good-price,0,1,0.5,0.4656647913223346,0,1200
